Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2013-0542-IDN,2013,0542,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,Karo district (Sumatera Utara province),,,,Yes,,,,,,3.17,98.392,,,2013,9,,2013,12,,,,29727,,29727,,,,,,,79.60130942,2,,18227,Karo (Adm2). 
2011-0564-PHL,2011,0564,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Taal ,Philippines (the),PHL,South-Eastern Asia,Asia,"Talisay, San Nicolas, Balete areas (Batangas district, Region IV-A (Calabarzon) province)",,,,,,,,,,14.002,120.993,,,2011,3,17,2011,4,18,,,1315,,1315,,,,,,,76.86159538,2,,24227,Batangas (Adm2). 
2013-0355-PER,2013,0355,,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Ubinas,Peru,PER,South America,Americas,"Arequipa district (Arequipa province), General Sanchez Cerro district (Moquagua province)",,,,,,Yes,,,,,,,,2013,9,12,2014,5,23,,,1040,,1040,,,,,,,79.60130942,2,,24039;24151,"Arequipa, General S??nchez Cerro (Adm2). "
2013-0543-SLV,2013,0543,VO-2013-000160,Natural,Geophysical,Volcanic activity,Ash fall,,Chaparrastique Volcano,El Salvador,SLV,Central America,Americas,"Chinameca, San Joge, El Transito, San Rafael de Oriente districts (San Miguel province)",,,,,,,,,,,,06:30,,2013,12,29,2013,12,29,,,63079,,63079,,,,,,,79.60130942,2,,15726;15730;15738;15741,"Chinameca, El Transito, San Jorge, San Rafael Oriente (Adm2). "
2014-0478-CPV,2014,0478,VO-2014-000158,Natural,Geophysical,Volcanic activity,Lava flow,,Pico do Fogo,Cabo Verde,CPV,Western Africa,Africa,"Bangaeira, Djeu Lorna, Portela, Cha das Caldeiras villages (Sao Filipe district, Fogo province)",,,,Yes,,,,,,,,10:00,,2014,11,23,2015,1,31,,,2500,,2500,,,,,,,80.89262372,2,,12816,Sao Filipe (Adm2). 
2015-0142-ARG,2015,0142,,Natural,Geophysical,Volcanic activity,Ash fall,,Calbuco,Argentina,ARG,South America,Americas,"San Carlos de Bariloche town (Bariloche district, Rio Negro province)",,,,,,,,,,,,,,2015,4,24,2015,4,24,,,,,,,,,,,,80.98857899,2,,4756,Bariloche (Adm2). 
2015-0142-CHL,2015,0142,,Natural,Geophysical,Volcanic activity,Ash fall,,Calbuco,Chile,CHL,South America,Americas,"Ensenada town (Llanquihue district, Los Lagos province)",,,,,,,,,,,,,,2015,4,24,2015,4,30,,,4000,,4000,,,,,600000,740845,80.98857899,2,,12955,Llanquihue (Adm2). 
2015-0143-CHL,2015,0143,,Natural,Geophysical,Volcanic activity,Ash fall,,Villarrica,Chile,CHL,South America,Americas,"Vallarica, Pucon, Cararrehue municipalities, Temuco town (Cautin district, Araucania province), Conaripe municipality (Valdivia district, Los Rios province)",,,,,,,,,,,,,,2015,3,,2015,3,,,,3600,,3600,,,,,,,80.98857899,2,,12935;149633,"Cautin, Valdivia (Adm2). "
2015-0104-CRI,2015,0104,VO-2015-000025,Natural,Geophysical,Volcanic activity,Ash fall,,Turrialba,Costa Rica,CRI,Central America,Americas,Turrialba district (Cartago province),,,,,,,,,,,,,,2015,3,12,2015,3,12,,,18450,,18450,,,,,,,80.98857899,2,,14492,Turrialba (Adm2). 
2015-0361-ECU,2015,0361,,Natural,Geophysical,Volcanic activity,Lava flow,,Cotopaxi,Ecuador,ECU,South America,Americas,"Cotopaxi, Napo, Pichincha provinces",,,,,,Yes,,,,-0.677,-78.436,,,2015,8,14,2015,8,22,,,800000,,800000,,,,,,,80.98857899,1,1140;1150;22006,,"Cotopaxi, Napo, Pichincha (Adm1). "
